0,0,0,0,7.50,0,0,0,0
0,0,0,0,7.75,15,0,0,0
0,0,0,0,8.00,0,0,0,0
0,0,0,0,8.25,0,0,0,0
0,0,0,0,8.50,0,0,0,0
0,0,0,0,8.75,1,0,1,0
0,0,0,0,9.00,23,0,23,0
0,0,0,0,9.25,6,0,6,0
100,0,0,0,9.50,22,0,22,0
0,0,0,0,9.75,219,0,0,0
100,0,0,0,10.00,14,0,14,0
100,0,0,0,10.50,21,0,20,0
16,0,8,-8,11.00,190,173,17,6
0,0,0,0,11.50,63,62,63,63
49,41,49,41,12.00,42,0,4,0
40,0,39,0,12.50,50,0,36,0
37,0,37,2,13.00,0,0,0,0
30,0,30,0,13.50,0,0,0,0
30,0,30,0,14.00,0,0,0,0
3,0,3,0,14.50,0,0,0,0
0,0,0,0,15.00,0,0,0,0
0,0,0,0,15.50,0,0,0,0
0,0,0,0,16.00,0,0,0,0
0,0,0,0,16.50,0,0,0,0
0,0,0,0,17.00,0,0,0,0
0,0,0,0,17.50,0,0,0,0
0,0,0,0,18.00,0,0,0,0
